id,vulnerability_name,severity,cwe_code,location,verdict,explanation
1,"App runs in debug mode",Low,CWE-489,sqli/app.py:24,TRUE POSITIVE,"O modo de depuração está explicitamente habilitado no código (debug=True), o que é inseguro para um ambiente de produção, pois pode expor informações sensíveis."
2,"Autoescape Disabled in Jinja2",High,CWE-79,src/dvpwa/sqli/app.py:35,TRUE POSITIVE,"O autoescape do Jinja2 está explicitamente desabilitado (autoescape=False), tornando a aplicação vulnerável a ataques de Cross-Site Scripting (XSS) por design."
3,"CSRF middleware disabled globally",High,CWE-352,sqli/app.py:25-29,TRUE POSITIVE,"O middleware de proteção contra Cross-Site Request Forgery (CSRF) está comentado no código-fonte, desativando essa importante camada de segurança para toda a aplicação."
4,"Cross-Site Request Forgery (CSRF)",HIGH,N/A,sqli/app.py:27,TRUE POSITIVE,"A ausência do middleware CSRF torna a aplicação vulnerável a ataques de CSRF, onde um atacante pode forçar um usuário autenticado a executar ações indesejadas."
5,"Cross-Site Scripting (XSS)",HIGH,CWE-79,sqli/app.py:28,TRUE POSITIVE,"A combinação da desativação do autoescape do Jinja2 e a falta de validação/sanitização de entradas torna a aplicação vulnerável a ataques de XSS."
6,"Cross-Site Scripting (XSS) via course description",High,CWE-79,src/dvpwa/sqli/templates/course.jinja2:15,TRUE POSITIVE,"A descrição do curso é renderizada diretamente no template sem qualquer tipo de escape, permitindo a execução de scripts maliciosos inseridos neste campo."
7,"Cross-Site Scripting (XSS) via course description in list",High,CWE-79,src/dvpwa/sqli/templates/courses.jinja2:18,TRUE POSITIVE,"Similar à vulnerabilidade anterior, a descrição do curso na lista de cursos também é renderizada sem escape, criando outro vetor para ataques de XSS."
8,"Cross-Site Scripting (XSS) via course description in student results",High,CWE-79,src/dvpwa/sqli/templates/student.jinja2:20,TRUE POSITIVE,"A descrição do curso nos resultados do estudante é mais um ponto onde a falta de escape permite a execução de scripts, explorando a mesma falha de XSS."
9,"Cross-Site Scripting (XSS) via course title",High,CWE-79,src/dvpwa/sqli/templates/course.jinja2:14,TRUE POSITIVE,"O título do curso é renderizado sem escape, permitindo a injeção de scripts maliciosos que serão executados no navegador de outros usuários."
10,"Cross-Site Scripting (XSS) via course title in list",High,CWE-79,src/dvpwa/sqli/templates/courses.jinja2:17,TRUE POSITIVE,"O título do curso na lista de cursos é renderizado sem escape, abrindo uma vulnerabilidade de XSS que afeta a visualização de múltiplos cursos."
11,"Cross-Site Scripting (XSS) via course title in review form",High,CWE-79,src/dvpwa/sqli/templates/review.jinja2:32,TRUE POSITIVE,"O título do curso no formulário de avaliação é renderizado sem escape, permitindo que um título de curso malicioso execute scripts na página de avaliação."
12,"Cross-Site Scripting (XSS) via course title in student results",High,CWE-79,src/dvpwa/sqli/templates/student.jinja2:19,TRUE POSITIVE,"O título do curso nos resultados do estudante é renderizado sem escape, criando outra oportunidade para a execução de scripts maliciosos."
13,"Cross-Site Scripting (XSS) via review text",High,CWE-79,src/dvpwa/sqli/templates/course.jinja2:22,TRUE POSITIVE,"O texto da avaliação é renderizado diretamente no template, permitindo que um usuário mal-intencionado insira scripts que serão executados por outros usuários que visualizarem a avaliação."
14,"Cross-Site Scripting (XSS) via student name in list",High,CWE-79,src/dvpwa/sqli/templates/students.jinja2:16,TRUE POSITIVE,"O nome do estudante na lista de estudantes é renderizado sem escape, permitindo a execução de scripts maliciosos através de nomes de estudantes criados para esse fim."
15,"Debug Mode Enabled",LOW,N/A,sqli/app.py:24,TRUE POSITIVE,"O modo de depuração está habilitado, o que é uma repetição da vulnerabilidade de ID 1 e representa um risco de segurança em produção."
16,"Disabled Jinja autoescape enables XSS",High,CWE-79,sqli/app.py:33-35,TRUE POSITIVE,"Esta é uma reiteração da vulnerabilidade de ID 2, confirmando que a desativação do autoescape é a causa raiz de múltiplas vulnerabilidades de XSS."
17,"Docker Security Misconfigurations",LOW,CWE-732,docker-compose.yml:11,TRUE POSITIVE,"O arquivo docker-compose.yml não segue as melhores práticas de segurança, como a falta de 'no-new-privileges' e 'read_only', o que pode facilitar a escalada de privilégios."
18,"Hardcoded Credentials",MEDIUM,CWE-798,config/dev.yaml,TRUE POSITIVE,"O arquivo de configuração de desenvolvimento contém credenciais de banco de dados codificadas diretamente no arquivo, o que é uma má prática de segurança."
19,"Hardcoded database credentials",Medium,CWE-798,config/dev.yaml:1-7,TRUE POSITIVE,"Repetição da vulnerabilidade de ID 18, as credenciais do banco de dados estão expostas no arquivo de configuração, facilitando o acesso não autorizado."
20,"Insecure Format Strings",INFO,CWE-134,"sqli/static/js/materialize.js:645;661;699",FALSE POSITIVE,"Esta vulnerabilidade foi identificada em um arquivo de biblioteca de terceiros (materialize.js), não no código da aplicação DVPWA. Portanto, é um falso positivo no contexto da análise do código customizado."
21,"Insecure Password Hashing",High,CWE-327,src/dvpwa/sqli/dao/user.py:40,TRUE POSITIVE,"A aplicação utiliza o algoritmo MD5 para hashing de senhas, que é considerado inseguro e vulnerável a ataques de colisão e rainbow table."
22,"Missing Authorization Checks",MEDIUM,N/A,Multiple endpoints,TRUE POSITIVE,"Diversos endpoints da aplicação não realizam verificações de autorização adequadas, permitindo que usuários não autorizados acessem ou modifiquem dados."
23,"Missing Authorization for student evaluation",High,CWE-862,src/dvpwa/sqli/views.py:135,TRUE POSITIVE,"A funcionalidade de avaliação de estudantes não possui uma verificação de autorização, permitindo que qualquer usuário, mesmo não autenticado, submeta avaliações."
24,"Missing CSRF Protection",HIGH,CWE-352,sqli/app.py:22,TRUE POSITIVE,"A falta de proteção CSRF é uma vulnerabilidade crítica que permite a um atacante enganar a vítima para que ela execute ações não intencionais na aplicação."
25,"Missing CSRF Protection",High,CWE-352,src/dvpwa/sqli/app.py:27,TRUE POSITIVE,"Esta é uma repetição da vulnerabilidade de ID 24, confirmando a ausência de proteção CSRF em toda a aplicação devido ao middleware desabilitado."
26,"Missing HTTP security headers (CSP, X-Frame-Options)",Medium,CWE-693,sqli/app.py:23-40,TRUE POSITIVE,"A aplicação não implementa cabeçalhos de segurança HTTP importantes como Content-Security-Policy (CSP) e X-Frame-Options, o que a torna mais suscetível a ataques de clickjacking e XSS."
27,"Missing authorization on POST /courses/",High,CWE-285,sqli/views.py:86-91,TRUE POSITIVE,"O endpoint para criação de cursos não possui verificação de autorização, permitindo que qualquer usuário crie novos cursos na plataforma."
28,"Missing authorization on POST /students/",Medium,CWE-285,sqli/views.py:54-58,TRUE POSITIVE,"O endpoint para criação de estudantes não possui verificação de autorização, permitindo que qualquer usuário adicione novos estudantes ao sistema."
29,"Missing authorization on POST evaluate",High,CWE-285,sqli/views.py:134-153,TRUE POSITIVE,"O endpoint de avaliação não possui autorização, permitindo que qualquer usuário envie avaliações para qualquer estudante em qualquer curso."
30,"No Rate Limiting",MEDIUM,N/A,sqli/views.py:33-45,TRUE POSITIVE,"A ausência de limitação de taxa (rate limiting) no endpoint de login torna a aplicação vulnerável a ataques de força bruta nas credenciais dos usuários."
31,"No brute-force protection or rate limiting on login",Low,CWE-307,sqli/views.py:33-46,TRUE POSITIVE,"Esta é uma repetição da vulnerabilidade de ID 30, confirmando a falta de proteção contra ataques de força bruta no mecanismo de autenticação."
32,"Outdated and Vulnerable Dependencies",HIGH,CWE-937,requirements.txt,TRUE POSITIVE,"O arquivo requirements.txt lista dependências com versões antigas que possuem vulnerabilidades conhecidas. Dado o propósito do projeto, é provável que isso seja intencional."
33,"Plain MD5 password hashing",High,CWE-327,sqli/dao/user.py:40-41,TRUE POSITIVE,"A utilização de MD5 para hashing de senhas é uma prática insegura, pois é um algoritmo rápido e suscetível a ataques de força bruta e rainbow tables."
